Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
B-branchy_dgnet_mutiT(100),68.11000032298267,0.5878467559814453,1.1799424726071623,"{0.1, 0.01, 0.5}","{36.07, 21.17, 30.93, 11.83}"
B-branchy_dgnet_mutiT(100),68.39000029183924,0.5808274745941162,1.1942020395153534,"{0.1, 0.01, 0.75}","{36.07, 21.17, 37.41, 5.35}"
B-branchy_dgnet_mutiT(100),68.41000023290516,0.5552114009857178,1.2492995524504522,"{0.1, 0.01, 1.0}","{36.07, 21.17, 40.41, 2.35}"
B-branchy_dgnet_mutiT(100),68.51000020250679,0.44366114139556884,1.5634124561483929,"{0.1, 0.01, 5.0}","{36.07, 21.17, 42.76, 0.0}"
B-branchy_dgnet_mutiT(100),68.51000020250679,0.5190553665161133,1.336322480244144,"{0.1, 0.01, 10.0}","{36.07, 21.17, 42.76, 0.0}"
B-branchy_dgnet_mutiT(100),68.48000023379922,0.5904078722000122,1.1748240283148979,"{0.1, 0.05, 0.0001}","{36.07, 29.54, 0.27, 34.12}"
B-branchy_dgnet_mutiT(100),68.37000024184584,0.5934661626815796,1.1687698446575225,"{0.1, 0.05, 0.001}","{36.07, 29.54, 1.21, 33.18}"
B-branchy_dgnet_mutiT(100),68.30000028893352,0.5872422456741333,1.1811571116968747,"{0.1, 0.05, 0.005}","{36.07, 29.54, 3.1, 31.29}"
B-branchy_dgnet_mutiT(100),68.35000029593706,0.5834745168685913,1.1887843165617844,"{0.1, 0.05, 0.01}","{36.07, 29.54, 4.5, 29.89}"
B-branchy_dgnet_mutiT(100),68.24000027790666,0.5874767541885375,1.1806856183185117,"{0.1, 0.05, 0.05}","{36.07, 29.54, 9.44, 24.95}"
B-branchy_dgnet_mutiT(100),68.12000033982099,0.5871092081069946,1.1814247591232458,"{0.1, 0.05, 0.1}","{36.07, 29.54, 12.71, 21.68}"
B-branchy_dgnet_mutiT(100),68.20000030763447,0.5880328416824341,1.1795690743773741,"{0.1, 0.05, 0.5}","{36.07, 29.54, 23.24, 11.15}"
B-branchy_dgnet_mutiT(100),68.27000026986003,0.584084415435791,1.1875429928212091,"{0.1, 0.05, 0.75}","{36.07, 29.54, 29.17, 5.22}"
B-branchy_dgnet_mutiT(100),68.30000026285649,0.5535512685775756,1.2530462743752881,"{0.1, 0.05, 1.0}","{36.07, 29.54, 32.02, 2.37}"
B-branchy_dgnet_mutiT(100),68.42000020489097,0.440527868270874,1.5745322934719441,"{0.1, 0.05, 5.0}","{36.07, 29.54, 34.39, 0.0}"
B-branchy_dgnet_mutiT(100),68.42000020489097,0.45003366470336914,1.5412743738272008,"{0.1, 0.05, 10.0}","{36.07, 29.54, 34.39, 0.0}"
B-branchy_dgnet_mutiT(100),68.42000027090312,0.5894634246826173,1.1767063497456387,"{0.1, 0.1, 0.0001}","{36.07, 33.61, 0.17, 30.15}"
B-branchy_dgnet_mutiT(100),68.34000025808811,0.5944794178009033,1.166777745363671,"{0.1, 0.1, 0.001}","{36.07, 33.61, 0.89, 29.43}"
B-branchy_dgnet_mutiT(100),68.25000022001565,0.5944620609283447,1.1668118124874818,"{0.1, 0.1, 0.005}","{36.07, 33.61, 2.36, 27.96}"
B-branchy_dgnet_mutiT(100),68.24000024937094,0.5872174263000489,1.181207034568531,"{0.1, 0.1, 0.01}","{36.07, 33.61, 3.42, 26.9}"
B-branchy_dgnet_mutiT(100),68.14000030308962,0.5903500318527222,1.1749391332969188,"{0.1, 0.1, 0.05}","{36.07, 33.61, 7.21, 23.11}"
B-branchy_dgnet_mutiT(100),67.9400003168732,0.5878770112991333,1.1798817464115872,"{0.1, 0.1, 0.1}","{36.07, 33.61, 10.07, 20.25}"
B-branchy_dgnet_mutiT(100),68.02000035710633,0.5863760709762573,1.182901876626768,"{0.1, 0.1, 0.5}","{36.07, 33.61, 19.61, 10.71}"
B-branchy_dgnet_mutiT(100),68.00000030770897,0.5891877174377441,1.1772569831959148,"{0.1, 0.1, 0.75}","{36.07, 33.61, 25.41, 4.91}"
B-branchy_dgnet_mutiT(100),68.20000028505922,0.6441858768463135,1.0767472242057976,"{0.1, 0.1, 1.0}","{36.07, 33.61, 28.03, 2.29}"
B-branchy_dgnet_mutiT(100),68.27000026851893,0.4464165210723877,1.5537627350811516,"{0.1, 0.1, 5.0}","{36.07, 33.61, 30.32, 0.0}"
B-branchy_dgnet_mutiT(100),68.27000026851893,0.4447283506393433,1.5596607541877803,"{0.1, 0.1, 10.0}","{36.07, 33.61, 30.32, 0.0}"
B-branchy_dgnet_mutiT(100),68.09000019975007,0.585866403579712,1.1839309278168435,"{0.1, 0.5, 0.0001}","{36.07, 48.33, 0.01, 15.59}"
B-branchy_dgnet_mutiT(100),68.06000019527971,0.5939442873001098,1.167828985980917,"{0.1, 0.5, 0.001}","{36.07, 48.33, 0.26, 15.34}"
B-branchy_dgnet_mutiT(100),68.08000019744038,0.5964956760406495,1.1628338353949395,"{0.1, 0.5, 0.005}","{36.07, 48.33, 0.68, 14.92}"
B-branchy_dgnet_mutiT(100),68.11000018775462,0.5909584045410157,1.1737295712133398,"{0.1, 0.5, 0.01}","{36.07, 48.33, 1.1, 14.5}"
B-branchy_dgnet_mutiT(100),68.15000019952654,0.586002779006958,1.1836554016727792,"{0.1, 0.5, 0.05}","{36.07, 48.33, 2.79, 12.81}"
B-branchy_dgnet_mutiT(100),68.06000019766391,0.5910662651062012,1.1735153834946357,"{0.1, 0.5, 0.1}","{36.07, 48.33, 3.95, 11.65}"
B-branchy_dgnet_mutiT(100),68.06000021085143,0.5836846590042114,1.1883563223165696,"{0.1, 0.5, 0.5}","{36.07, 48.33, 9.29, 6.31}"
B-branchy_dgnet_mutiT(100),68.05000021092593,0.5740580320358277,1.208284382516149,"{0.1, 0.5, 0.75}","{36.07, 48.33, 12.32, 3.28}"
B-branchy_dgnet_mutiT(100),68.08000021509825,0.5308474779129028,1.30663775119348,"{0.1, 0.5, 1.0}","{36.07, 48.33, 14.08, 1.52}"
B-branchy_dgnet_mutiT(100),68.14000021234155,0.4405630826950073,1.5744064403304263,"{0.1, 0.5, 5.0}","{36.07, 48.33, 15.6, 0.0}"
B-branchy_dgnet_mutiT(100),68.14000021234155,0.44445822238922117,1.560608668770276,"{0.1, 0.5, 10.0}","{36.07, 48.33, 15.6, 0.0}"
B-branchy_dgnet_mutiT(100),67.50000028543174,0.580895209312439,1.1940627907533214,"{0.1, 0.75, 0.0001}","{36.07, 56.91, 0.01, 7.01}"
B-branchy_dgnet_mutiT(100),67.50000028468669,0.5848025560379029,1.1860846838054684,"{0.1, 0.75, 0.001}","{36.07, 56.91, 0.04, 6.98}"
B-branchy_dgnet_mutiT(100),67.50000028528274,0.5835037469863892,1.1887247654350115,"{0.1, 0.75, 0.005}","{36.07, 56.91, 0.22, 6.8}"
B-branchy_dgnet_mutiT(100),67.50000028297305,0.5891459703445434,1.1773404040448598,"{0.1, 0.75, 0.01}","{36.07, 56.91, 0.4, 6.62}"
B-branchy_dgnet_mutiT(100),67.51000028066338,0.5846671104431153,1.186359455453466,"{0.1, 0.75, 0.05}","{36.07, 56.91, 1.13, 5.89}"
B-branchy_dgnet_mutiT(100),67.53000028260053,0.5776115417480469,1.2008509259834075,"{0.1, 0.75, 0.1}","{36.07, 56.91, 1.74, 5.28}"
B-branchy_dgnet_mutiT(100),67.54000027872623,0.6164202451705932,1.1252475242354931,"{0.1, 0.75, 0.5}","{36.07, 56.91, 3.79, 3.23}"
B-branchy_dgnet_mutiT(100),67.63000028833747,0.5678724527359008,1.2214456810241305,"{0.1, 0.75, 0.75}","{36.07, 56.91, 5.17, 1.85}"
B-branchy_dgnet_mutiT(100),67.70000028923154,0.5045416593551636,1.3747632963615792,"{0.1, 0.75, 1.0}","{36.07, 56.91, 6.19, 0.83}"
B-branchy_dgnet_mutiT(100),67.65000028952957,0.44053993225097654,1.5744891756411445,"{0.1, 0.75, 5.0}","{36.07, 56.91, 7.02, 0.0}"
B-branchy_dgnet_mutiT(100),67.65000028952957,0.43903493881225586,1.5798864587937957,"{0.1, 0.75, 10.0}","{36.07, 56.91, 7.02, 0.0}"
B-branchy_dgnet_mutiT(100),67.4600002618134,0.5515481472015381,1.2575971078611783,"{0.1, 1.0, 0.0001}","{36.07, 61.0, 0.01, 2.92}"
B-branchy_dgnet_mutiT(100),67.46000026151538,0.5550747632980347,1.2496070811175024,"{0.1, 1.0, 0.001}","{36.07, 61.0, 0.03, 2.9}"
B-branchy_dgnet_mutiT(100),67.45000026062131,0.5573773860931396,1.2444447372160496,"{0.1, 1.0, 0.005}","{36.07, 61.0, 0.08, 2.85}"
B-branchy_dgnet_mutiT(100),67.45000026106834,0.5556313514709473,1.2483553221584434,"{0.1, 1.0, 0.01}","{36.07, 61.0, 0.14, 2.79}"
B-branchy_dgnet_mutiT(100),67.44000026077032,0.5499171018600464,1.2613271207982417,"{0.1, 1.0, 0.05}","{36.07, 61.0, 0.46, 2.47}"
B-branchy_dgnet_mutiT(100),67.45000025987625,0.546841049194336,1.2684222513813985,"{0.1, 1.0, 0.1}","{36.07, 61.0, 0.6, 2.33}"
B-branchy_dgnet_mutiT(100),67.47000025838614,0.5310193061828614,1.3062149467838546,"{0.1, 1.0, 0.5}","{36.07, 61.0, 1.33, 1.6}"
B-branchy_dgnet_mutiT(100),67.52000025898218,0.5064405202865601,1.3696087239906685,"{0.1, 1.0, 0.75}","{36.07, 61.0, 1.89, 1.04}"
B-branchy_dgnet_mutiT(100),67.5100002592802,0.4737873077392578,1.464001553938994,"{0.1, 1.0, 1.0}","{36.07, 61.0, 2.39, 0.54}"
B-branchy_dgnet_mutiT(100),67.51000026255845,0.4257803916931152,1.629068337338517,"{0.1, 1.0, 5.0}","{36.07, 61.0, 2.93, 0.0}"
B-branchy_dgnet_mutiT(100),67.51000026255845,0.4250840663909912,1.6317368953764806,"{0.1, 1.0, 10.0}","{36.07, 61.0, 2.93, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.301427435874939,2.30113543829709,"{0.1, 5.0, 0.0001}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.3028632402420044,2.290226288976506,"{0.1, 5.0, 0.001}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.299444842338562,2.3163710196170637,"{0.1, 5.0, 0.005}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.29775357246398926,2.3295282371489723,"{0.1, 5.0, 0.01}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.299595046043396,2.3152096936421804,"{0.1, 5.0, 0.05}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.30021030902862544,2.3104648105229044,"{0.1, 5.0, 0.1}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.30072302818298335,2.3065255725770024,"{0.1, 5.0, 0.5}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.29855918884277344,2.3232423609380892,"{0.1, 5.0, 0.75}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.3009352922439575,2.3048986697264753,"{0.1, 5.0, 1.0}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.30457570552825924,2.277349579027699,"{0.1, 5.0, 5.0}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.30215845108032224,2.295568276468496,"{0.1, 5.0, 10.0}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.38531877994537356,1.8001337875750063,"{0.1, 10.0, 0.0001}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.30350022315979003,2.2854195873248453,"{0.1, 10.0, 0.001}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.2972255706787109,2.3336664916916834,"{0.1, 10.0, 0.005}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.3006921291351318,2.3067625905669407,"{0.1, 10.0, 0.01}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.2982623100280762,2.3255548268956714,"{0.1, 10.0, 0.05}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.30101695060729977,2.304273408415908,"{0.1, 10.0, 0.1}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.3022329092025757,2.2950027400951694,"{0.1, 10.0, 0.5}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.3041698932647705,2.280387934919865,"{0.1, 10.0, 0.75}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.30106310844421386,2.3039201260866955,"{0.1, 10.0, 1.0}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.30058467388153076,2.307587229281769,"{0.1, 10.0, 5.0}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),67.43000036597252,0.29713077545166017,2.3344110138456213,"{0.1, 10.0, 10.0}","{36.07, 63.93, 0.0, 0.0}"
B-branchy_dgnet_mutiT(100),68.13000021457673,0.5985511541366577,1.1588405601979364,"{0.5, 0.0001, 0.0001}","{60.94, 2.46, 1.46, 35.14}"
B-branchy_dgnet_mutiT(100),68.11000028073788,0.5950963973999023,1.165568062245775,"{0.5, 0.0001, 0.001}","{60.94, 2.46, 4.97, 31.63}"
B-branchy_dgnet_mutiT(100),67.93000029370188,0.5933634042739868,1.1689722516937744,"{0.5, 0.0001, 0.005}","{60.94, 2.46, 8.82, 27.78}"
B-branchy_dgnet_mutiT(100),67.90000031866134,0.5878467082977296,1.1799425683192597,"{0.5, 0.0001, 0.01}","{60.94, 2.46, 10.84, 25.76}"
B-branchy_dgnet_mutiT(100),67.9700003606081,0.5885836362838744,1.17846523757638,"{0.5, 0.0001, 0.05}","{60.94, 2.46, 16.05, 20.55}"
B-branchy_dgnet_mutiT(100),67.81000033952296,0.602259349822998,1.151705415566732,"{0.5, 0.0001, 0.1}","{60.94, 2.46, 18.79, 17.81}"
